unemployed area_buildings births deaths moves_in moves_out cars trucks motorbikes buildings_until_1900 buildings_1900-1918 buildings_1919-1948 buildings_1949-1957 buildings_1958-1962 buildings_1963-1972 buildings_1973-1982 buildings_1983-1992 buildings_1993-2001 households children male female social_insurance benefits age_under_26 age_26-35 age_36-45 age_46-55 age_56-65 age_above_65
City-Ost 270 106204 23 26 317 223 1474 249 55 7 23 33 124 52 20 17 24 11 160 237 682 320 983 249 37 233 236 217 177 102
City-West 66 28592 2 57 60 52 716 450 14 7 0 9 26 18 7 9 2 0 62 98 190 75 217 66 13 39 66 59 44 44
Cityring-Ost 228 144511 19 33 312 251 1370 80 96 16 15 17 190 30 31 15 3 0 201 281 692 409 1311 138 47 284 264 227 138 141
Cityring-West 138 74849 10 39 356 241 1043 86 44 0 4 2 78 40 25 4 2 2 132 202 428 203 638 172 29 150 143 126 88 95
Westfalenhalle 331 307602 62 112 431 393 2719 140 263 24 259 130 167 40 19 19 3 13 514 756 1542 1055 2539 158 63 632 684 570 393 255
Sudwestfriedhof 135 117753 18 26 138 109 894 40 91 1 37 129 54 19 10 5 3 3 203 286 587 366 947 58 28 207 243 195 138 142
Tremonia 320 205879 29 78 204 186 1661 33 159 37 57 174 215 37 10 0 6 6 410 574 1105 677 1613 217 54 336 535 297 249 311
Westpark 281 172003 35 42 280 241 1335 51 115 19 72 50 207 22 9 2 6 2 318 468 884 464 1491 203 54 349 395 238 174 138
Dorstfelder_Brucke 623 225119 76 41 462 331 1619 46 127 91 168 30 130 28 8 13 59 3 635 1036 1239 511 2060 706 90 437 517 288 248 170
Union 183 49118 27 9 173 105 498 41 17 60 43 19 14 5 4 3 0 0 190 347 290 56 424 185 32 120 92 56 33 13
Hallerey 353 147568 41 36 148 144 1650 141 111 28 41 16 32 67 39 44 65 43 559 892 958 407 1360 414 75 263 373 320 191 143
Dorstfeld 383 174725 45 30 271 212 1574 63 132 31 26 119 117 38 18 250 42 2 609 1102 1127 564 1411 589 71 266 425 433 297 199
Oberdorstfeld 388 240214 45 79 176 187 3169 436 330 31 449 402 451 125 53 29 37 20 699 1064 1860 919 2149 286 138 442 727 692 432 348
Hafen 925 245819 104 102 533 341 2100 295 111 11 106 186 191 38 14 6 7 10 681 1154 1351 536 2107 870 131 450 420 363 330 193
Hafen-Sud 498 172742 57 38 295 243 1268 298 82 12 70 86 171 12 19 2 8 8 455 810 780 264 1146 548 65 305 264 183 126 101
Hafen-Sudost 690 169004 73 56 612 429 1271 143 93 14 37 30 190 43 30 14 7 5 528 884 942 324 1550 565 81 300 306 248 194 137
Nordmarkt-Sud 917 245362 81 66 528 447 1619 113 86 27 55 40 177 43 48 44 46 9 945 1859 1262 397 1899 1350 112 402 432 336 238 139
Nordmarkt-Sudost 646 131659 64 29 301 254 927 73 44 9 98 18 88 10 17 18 5 2 504 1006 657 192 958 750 62 228 219 171 108 61
Nordmarkt-West 906 269735 108 150 558 386 1872 127 100 11 91 95 223 62 34 16 8 39 977 1795 1529 511 2162 999 143 490 480 410 327 190
Nordmarkt-Ost 592 134958 78 35 390 258 1318 291 58 10 111 94 106 13 4 8 4 2 602 1196 776 197 1206 646 81 321 221 146 139 65
Borsigplatz 926 231816 107 65 543 396 1517 94 75 42 147 62 146 90 33 5 2 18 855 1627 1297 346 1849 1053 118 403 391 297 243 191
Westfalenhutte 519 124188 70 29 1132 498 762 39 64 41 113 59 87 11 5 5 0 19 480 906 587 181 926 631 44 236 198 136 107 47
Kaiserbrunnen 569 348264 81 84 438 397 2843 175 247 48 99 115 415 85 39 15 11 5 624 893 1784 1003 2662 391 101 609 698 528 460 391
Funkenburg 722 267503 65 101 318 286 2096 116 162 26 64 273 155 20 23 14 8 22 549 830 1371 694 2094 709 85 457 516 426 339 242
Korne 606 351429 78 133 271 288 3680 220 286 22 77 251 184 104 99 112 47 37 779 1172 2193 1326 3103 349 179 687 789 760 615 489
Westfalendamm-Nord 166 173918 29 94 169 123 2616 320 124 0 8 170 220 60 43 23 11 10 296 452 970 660 1057 81 58 264 349 344 313 302
Gartenstadt-Nord 343 286337 53 102 190 171 2996 121 206 1 8 355 184 98 208 114 70 32 723 1137 1920 1121 1939 294 106 426 623 640 623 623
Westfalendamm-Sud 171 208516 27 51 164 135 2103 103 120 0 19 132 155 95 50 59 12 20 311 449 1140 808 1261 79 54 289 422 379 410 394
Gartenstadt-Sud 45 128676 12 19 54 56 1266 23 98 4 51 169 136 54 64 39 40 12 178 299 680 516 554 5 21 115 234 271 291 264
Ruhrallee_West 385 331622 53 58 397 361 3012 114 302 9 102 118 345 46 27 10 5 2 524 751 1718 1095 2708 228 83 667 712 493 424 434
Ruhrallee_Ost 264 224480 29 55 318 240 2540 125 143 12 14 34 333 81 37 9 17 2 328 477 1057 784 1625 112 56 377 414 339 316 339
Brechten-Nord 204 205770 43 47 119 147 2441 99 256 65 23 76 72 124 240 184 163 123 569 894 1740 889 1683 69 116 399 647 596 461 410
Brechten-Sud 152 137506 23 28 97 119 1583 32 154 21 11 65 100 99 206 51 40 42 377 533 1074 626 1196 89 62 231 414 386 335 272
Niedereving 304 113186 36 35 99 88 1031 40 81 27 17 104 87 53 51 81 27 9 411 714 766 310 916 249 74 209 239 201 215 138
Eving 295 126859 38 75 157 149 1261 96 122 28 35 134 81 53 72 21 14 58 422 673 909 453 1084 218 69 249 344 261 231 208
Obereving 850 339944 131 118 305 295 3502 106 307 22 81 183 551 186 231 81 62 318 1322 2234 2691 1091 3013 796 187 712 1030 742 553 558
Kemminghausen 152 53437 15 17 66 43 582 16 57 4 1 21 182 11 11 5 67 16 222 357 447 193 528 183 27 91 161 201 85 75
Holthausen 13 17933 3 0 22 15 247 21 18 33 13 42 11 6 6 2 2 3 52 88 165 94 137 1 9 28 64 65 53 40
Lindenhorst 469 162714 67 54 210 138 1957 265 208 54 73 284 228 39 60 63 32 144 696 1162 1266 578 1521 407 95 327 531 409 275 207
Altenderne 51 36640 5 11 27 40 473 95 50 37 37 24 29 4 14 53 6 17 113 174 302 162 311 26 8 57 127 122 76 74
Derne 342 163051 59 118 198 152 1715 59 154 50 256 178 49 75 137 38 10 86 662 1112 1336 557 1455 251 107 338 493 355 315 285
Grevel 21 27183 6 6 7 24 324 18 45 31 11 17 6 3 25 10 4 23 65 97 226 116 238 0 10 59 106 77 57 33
Hostedde 105 61335 13 12 39 47 720 63 97 41 27 39 14 53 56 37 16 33 159 251 509 263 511 46 43 125 184 194 141 85
Franz-Zimmer-Siedlung 105 85469 17 30 77 32 1073 30 95 10 14 65 204 48 111 16 11 70 309 515 818 339 627 94 33 170 288 230 189 247
Kirchderne 90 48591 9 15 20 28 569 65 61 14 15 81 55 6 45 11 29 13 125 201 389 186 386 41 24 85 139 144 101 82
