"","ID","MapNumber","DistrictName","Region","PAM7","K11","M5"
"1",1,1,"City-Ost","InnenstadtWest",1,11,1
"2",2,2,"City-West","InnenstadtWest",2,11,1
"3",3,3,"Cityring-Ost","InnenstadtWest",1,4,1
"4",4,4,"Cityring-West","InnenstadtWest",2,4,1
"5",5,11,"Westfalenhalle","InnenstadtWest",3,9,1
"6",6,12,"Sudwestfriedhof","InnenstadtWest",4,7,3
"7",7,13,"Tremonia","InnenstadtWest",4,1,1
"8",8,21,"Westpark","InnenstadtWest",1,4,1
"9",9,22,"Dorstfelder Brucke","InnenstadtWest",5,5,1
"10",10,23,"Union","InnenstadtWest",2,8,2
"11",11,31,"Hallerey","InnenstadtWest",1,4,2
"12",12,32,"Dorstfeld","InnenstadtWest",1,4,1
"13",13,33,"Oberdorstfeld","InnenstadtWest",5,9,1
"14",14,41,"Hafen","InnenstadtNord",6,2,1
"15",15,42,"Hafen-Sud","InnenstadtNord",1,11,1
"16",16,43,"Hafen-Sudost","InnenstadtNord",6,2,1
"17",17,51,"Nordmarkt-Sud","InnenstadtNord",6,2,1
"18",18,52,"Nordmarkt-Sudost","InnenstadtNord",1,2,1
"19",19,53,"Nordmarkt-West","InnenstadtNord",6,2,1
"20",20,54,"Nordmarkt-Ost","InnenstadtNord",6,2,1
"21",21,61,"Borsigplatz","InnenstadtNord",6,2,1
"22",22,62,"Westfalenhutte","InnenstadtNord",1,2,1
"23",23,71,"Kaiserbrunnen","InnenstadtOst",3,9,1
"24",24,72,"Funkenburg","InnenstadtOst",3,9,1
"25",25,73,"Korne","InnenstadtOst",3,9,1
"26",26,81,"Westfalendamm-Nord","InnenstadtOst",4,11,1
"27",27,82,"Gartenstadt-Nord","InnenstadtOst",7,1,1
"28",28,83,"Westfalendamm-Sud","InnenstadtOst",4,1,1
"29",29,84,"Gartenstadt-Sud","InnenstadtOst",4,7,3
"30",30,91,"Ruhrallee West","InnenstadtOst",3,9,1
"31",31,92,"Ruhrallee Ost","InnenstadtOst",4,1,1
"32",32,111,"Brechten-Nord","Eving",7,3,2
"33",33,112,"Brechten-Sud","Eving",4,7,3
"34",34,121,"Niedereving","Eving",1,4,3
"35",35,122,"Eving","Eving",1,4,2
"36",36,123,"Obereving","Eving",6,10,1
"37",37,124,"Kemminghausen","Eving",2,8,3
"38",38,130,"Holthausen","Eving",2,8,5
"39",39,140,"Lindenhorst","Eving",5,5,1
"40",40,211,"Altenderne","Scharnhorst",2,8,4
"41",41,212,"Derne","Scharnhorst",5,5,2
"42",42,221,"Grevel","Scharnhorst",2,8,5
"43",43,222,"Hostedde","Scharnhorst",2,8,4
"44",44,231,"Franz-Zimmer-Siedlung","Scharnhorst",4,7,3
"45",45,232,"Kirchderne","Scharnhorst",2,8,4
"46",46,241,"Kurl-Nord","Scharnhorst",2,8,4
"47",47,242,"Kurl-Sud","Scharnhorst",4,7,3
"48",48,243,"Husen-Nord","Scharnhorst",2,8,5
"49",49,244,"Husen-Sud","Scharnhorst",1,4,2
"50",50,251,"Lanstrop-Neu","Scharnhorst",1,4,3
"51",51,252,"Lanstrop-Alt","Scharnhorst",2,8,4
"52",52,261,"MSA-Siedlung","Scharnhorst",4,1,1
"53",53,262,"Alt-Scharnhorst","Scharnhorst",1,4,2
"54",54,263,"Westholz","Scharnhorst",2,8,3
"55",55,270,"Scharnhorst-Ost","Scharnhorst",6,10,1
"56",56,311,"Asselburg","Brackel",4,7,3
"57",57,312,"Asseln Dorf","Brackel",2,8,4
"58",58,313,"Asseln Hellweg","Brackel",2,8,4
"59",59,314,"Kolonie Holstein","Brackel",4,7,2
"60",60,315,"Kolonie Neuasseln","Brackel",2,8,5
"61",61,321,"Brackeler Feld","Brackel",4,7,3
"62",62,322,"Westheck","Brackel",4,1,2
"63",63,323,"Reichshof","Brackel",4,4,3
"64",64,324,"Brackel Dorf","Brackel",4,7,3
"65",65,325,"Brackel Hellweg","Brackel",2,8,4
"66",66,326,"Knappschaftskrankenhaus","Brackel",4,7,3
