"","unemployed","area_buildings","births","deaths","moves_in","moves_out","cars","trucks","motorbikes","buildings_until_1900","buildings_1900.1918","buildings_1919.1948","buildings_1949.1957","buildings_1958.1962","buildings_1963.1972","buildings_1973.1982","buildings_1983.1992","buildings_1993.2001","households","children","male","female","social_insurance","benefits","age_under_26","age_26.35","age_36.45","age_46.55","age_56.65","age_above_65"
"unemployed",1,0.852401654338532,0.931923316911539,0.789792619115196,0.870470953723357,0.869313081228465,0.752702506596003,0.656708735429666,0.658599785031032,0.279501422271945,0.623761769995119,0.418543423409518,0.606913513362573,0.415534162271596,0.215586693584766,0.194055780478847,0.294822469490609,0.233177693576464,0.911110012086997,0.90971512755845,0.790361082572593,0.630129114595071,0.894492928430914,0.964083028281422,0.916506914437526,0.882994185270203,0.749253295728436,0.700623006329752,0.618388260832052,0.554264110334416
"area_buildings",0.852401654338532,1,0.885361116220147,0.831692024558631,0.83779481096501,0.865545023659534,0.950751860190496,0.654746836887455,0.855931624837749,0.345851471573477,0.584741804794717,0.55701819736894,0.659787407312439,0.593515546280707,0.447970961622162,0.457781281208772,0.508316549970045,0.377467199740174,0.909227695353877,0.883028108444632,0.95662799220152,0.903146697348116,0.971410600897447,0.74372985630641,0.910553369962856,0.957386639583715,0.924442164812732,0.915802747359948,0.888967460616602,0.838959219827665
"births",0.931923316911539,0.885361116220147,1,0.774239190058176,0.869124700449594,0.870555849561646,0.802138288885647,0.631602744291431,0.707363538071283,0.347895148162078,0.631311736092555,0.451946787185354,0.605547286493261,0.423370468861562,0.290663173693997,0.304939885789959,0.37545061720694,0.359527256498196,0.938437638307158,0.940511837311712,0.840056484689039,0.709903334806063,0.909373232320489,0.873208084438207,0.916253186228029,0.913397579863666,0.805890481840904,0.761151348801682,0.698220068784828,0.615358788578916
"deaths",0.789792619115196,0.831692024558631,0.774239190058176,1,0.755245322962286,0.741183707501582,0.787230872797967,0.579034590282539,0.722810831010078,0.243253562531903,0.484095152154403,0.439610126229901,0.592576330749836,0.501319705938659,0.373685933295845,0.327621922910952,0.366513947737708,0.301600940594006,0.801758785894847,0.779062308715421,0.811780606998611,0.733475613983855,0.833685149404884,0.733937906147744,0.820679060989371,0.824259405451935,0.772520176335538,0.758702397886398,0.717696039076747,0.702800717775813
"moves_in",0.870470953723357,0.83779481096501,0.869124700449594,0.755245322962286,1,0.955748034765955,0.77230185491972,0.67505493700234,0.6226033692623,0.316596418506232,0.578179542773046,0.389784766181251,0.584078260556478,0.418446270901548,0.161767310444154,0.235723476997723,0.31839558680542,0.225874644517893,0.815253441793965,0.810041667167287,0.749369018592153,0.655844183945888,0.864669712956112,0.813850080250387,0.822104013506333,0.869136837233219,0.723573090318706,0.681792367186707,0.621415193187522,0.541314657956408
"moves_out",0.869313081228465,0.865545023659534,0.870555849561646,0.741183707501582,0.955748034765955,1,0.799324227635583,0.694392702692304,0.660134782339867,0.352936978030559,0.617379097870899,0.41666432610004,0.564420374213995,0.448764162690304,0.217661134057951,0.266981761380831,0.345166390177178,0.226014537130725,0.826881398483775,0.815903591046567,0.776237583221964,0.686582796141282,0.889416175170164,0.798736937794629,0.836180641333134,0.878617073107319,0.752696629953311,0.707573394877622,0.659510437108549,0.572246453025654
"cars",0.752702506596003,0.950751860190496,0.802138288885647,0.787230872797967,0.77230185491972,0.799324227635583,1,0.68113768599611,0.90405814247291,0.363174288192551,0.495344637077899,0.521953092669842,0.614585122624099,0.640355734746417,0.544420316573878,0.563735531798261,0.60738605859693,0.492909173488966,0.860075831112717,0.827949083593755,0.966007468273519,0.955467349826506,0.936272399468212,0.636835526800379,0.868617492412441,0.922107011634618,0.952691021896281,0.953678881789165,0.935874457976798,0.889221494835371
"trucks",0.656708735429666,0.654746836887455,0.631602744291431,0.579034590282539,0.67505493700234,0.694392702692304,0.68113768599611,1,0.55170558487519,0.348302254879245,0.557327765061722,0.462865850691607,0.52213965477226,0.437166667094728,0.136233546454815,0.255774847110629,0.366095832500281,0.229619060622339,0.613541052903115,0.60532032681588,0.608458751381613,0.548225593948165,0.678149712364724,0.594078484851302,0.654788960199748,0.688570516974898,0.587459213651806,0.567562832972806,0.522471256561558,0.448009294373404
"motorbikes",0.658599785031032,0.855931624837749,0.707363538071283,0.722810831010078,0.6226033692623,0.660134782339867,0.90405814247291,0.55170558487519,1,0.472534929783288,0.539203437736668,0.573149974769098,0.584609747390829,0.655319815607311,0.571055510078771,0.621817647530598,0.648333739521915,0.595837068085158,0.812581297834077,0.781266412693556,0.930943050075526,0.938337401161618,0.867263750000169,0.52931344049603,0.808292608394457,0.857468963935126,0.948327265610698,0.943020300475523,0.899361340746145,0.869599761520562
"buildings_until_1900",0.279501422271945,0.345851471573477,0.347895148162078,0.243253562531903,0.316596418506232,0.352936978030559,0.363174288192551,0.348302254879245,0.472534929783288,1,0.597084675545503,0.224250548204831,0.107584399067007,0.252418201020929,0.217748504287207,0.480190456092016,0.451845044116357,0.425551041085305,0.36944505980372,0.366346988564612,0.401644359755292,0.398587991137777,0.388000072286108,0.203936199757909,0.394354078601529,0.404077146103763,0.424103153960909,0.410546557859724,0.392224368940737,0.281963161483812
